127.0.0.1 - - [21/Dec/2015:11:01:25 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/css/sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jstree-3.1.0/themes/default/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/bootstrap-3.3.4/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/datepicker/jquery.simple-dtpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jquery-2.1.3/js/jquery-2.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jquery-blockui-2.70.0/jquery.blockui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/bootstrap-3.3.4/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/jstree-3.1.0/jstree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/notify-0.3.1/notify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/justGage-1.0.1/resources/js/raphael.2.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/justGage-1.0.1/resources/js/justgage.1.0.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/datepicker/jquery.simple-dtpicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/socket.io-1.3.5/socket.io-1.3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/raphael-2.1.2/raphael.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/elycharts-2.1.6/elycharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/lib/d3j-3.5.6/d3.v3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/js/misc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/js/tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/js/screens.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:26 +0000] "GET /proasense/images/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:27 +0000] "GET /proasense/lib/bootstrap-3.3.4/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/shift HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/images/proasense.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/lib/jstree-3.1.0/themes/default/throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/lib/jstree-3.1.0/themes/default/32px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/mould HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/machine HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/product HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/kpi_target HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/kpi_formula HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/sensor HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/inc/screen1.inc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/inc/screen2.inc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/inc/screengraph.inc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/inc/screenquery.inc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:29 +0000] "GET /proasense/data/proasense_hella/kpi HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:34 +0000] "POST /proasense/data/proasense_hella/kpi_formula HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [21/Dec/2015:11:01:34 +0000] "POST /proasense/data/proasense_hella/kpi HTTP/1.1" 200 46
